N,P,K,temperature,humidity,ph,rainfall,previous_crop,farm_size_hectares,current_crop
37.45,36.18,26.09,16.63,53.28,6.89,18.38,Maize,1.81,Mustard
32.54,77.47,20.98,29.22,69.85,5.9,50.76,Rice,0.27,PigeonPeas
83.66,45.45,43.35,34.61,79.14,5.88,286.91,Wheat,0.85,Rice
72.35,36.9,56.55,34.43,76.53,5.63,273.57,Fallow,0.4,Rice
79.46,49.98,40.94,28.48,72.42,7.52,276.0,Wheat,0.75,Sugarcane
25.81,47.35,76.0,10.81,49.29,7.12,23.44,Maize,0.95,Chickpea
29.89,47.7,81.99,17.36,45.37,8.0,44.83,Maize,0.52,Chickpea
22.13,23.86,33.13,10.58,69.3,6.32,26.12,Wheat,0.14,Mustard
33.12,69.7,21.09,28.14,68.53,5.66,83.15,Wheat,0.34,PigeonPeas
22.17,27.13,20.56,10.81,60.66,6.5,41.51,Wheat,0.92,Mustard
87.95,52.37,38.16,33.31,73.25,6.22,287.8,Rice,0.5,Maize
26.27,77.59,22.76,26.64,68.36,5.84,68.59,Rice,0.21,MungBean
25.37,60.42,22.92,29.52,65.84,5.94,65.39,Wheat,0.87,PigeonPeas
27.29,35.54,87.24,17.04,58.68,7.66,28.71,Maize,0.36,Chickpea
25.15,28.64,32.28,14.49,59.76,6.59,19.65,Wheat,0.13,Mustard
32.12,69.32,19.08,27.88,69.12,6.17,70.31,Wheat,0.89,MungBean
30.42,69.31,18.77,26.21,59.45,5.88,61.54,Rice,0.17,PigeonPeas
81.65,55.54,39.57,33.6,67.91,7.17,242.32,Wheat,0.24,Maize
93.19,55.48,27.68,31.33,76.11,6.79,242.19,Rice,0.38,Maize
39.39,78.9,22.21,28.31,56.64,5.92,95.22,Wheat,0.22,PigeonPeas
79.41,50.03,48.9,30.25,79.68,6.25,243.14,Fallow,0.29,Rice
32.59,78.09,19.97,26.28,51.4,6.37,67.88,Wheat,0.77,MungBean
20.63,31.24,20.77,18.28,61.62,6.28,45.37,Maize,1.54,Mustard
89.48,50.06,39.82,14.87,67.79,7.35,26.56,Rice,0.14,Wheat
90.35,58.89,36.65,34.77,61.95,6.64,289.83,Wheat,2.0,Maize
39.17,64.95,15.04,26.61,54.47,6.24,50.41,Rice,0.97,MungBean
25.59,65.6,22.05,25.1,69.45,6.01,99.46,Rice,1.36,MungBean
38.61,33.65,22.9,18.03,50.92,6.2,21.46,Maize,1.53,Mustard
85.65,52.05,37.76,12.81,62.74,6.98,34.47,Rice,0.71,Wheat
92.75,43.78,20.67,18.34,73.69,6.89,47.85,Rice,0.56,Wheat
93.68,44.77,24.47,15.37,68.41,7.1,46.77,Rice,0.94,Wheat
88.14,53.54,52.9,32.29,89.83,5.66,298.9,Wheat,0.76,Rice
74.08,44.05,58.33,34.08,87.76,6.4,242.88,Rice,0.84,Sugarcane
82.16,40.6,50.26,32.16,72.67,5.8,239.44,Maize,0.55,Rice
91.61,57.42,33.26,34.32,75.71,6.48,256.44,Rice,0.49,Maize
25.39,64.25,16.85,25.98,57.38,5.64,51.28,Rice,0.88,MungBean
16.78,46.26,77.25,17.83,47.4,7.11,18.51,Maize,0.25,Chickpea
22.61,40.75,73.45,12.49,41.4,7.99,42.93,Maize,0.33,Chickpea
87.66,53.93,22.0,18.52,60.63,7.18,43.65,Maize,0.97,Wheat
90.31,45.0,27.66,19.97,68.12,7.34,16.41,Rice,0.28,Wheat
76.01,42.38,49.38,28.11,76.94,6.27,212.82,Wheat,0.79,Rice
87.66,40.21,27.03,17.32,60.39,6.72,32.66,Rice,1.35,Wheat
33.28,75.62,21.3,29.46,54.45,6.08,72.96,Wheat,0.19,PigeonPeas
31.75,25.33,35.1,18.57,54.02,6.18,27.91,Wheat,0.32,Mustard
15.09,41.04,75.69,12.54,58.25,7.29,30.32,Maize,0.91,Chickpea
79.03,47.45,51.93,29.61,86.15,6.2,217.77,Fallow,0.13,Rice
33.22,79.2,20.07,25.55,53.36,5.78,86.26,Rice,0.29,PigeonPeas
85.41,47.37,41.12,30.07,81.48,6.26,289.02,Rice,0.29,Sugarcane
71.28,49.92,42.56,33.74,73.01,6.2,255.39,Wheat,8.81,Sugarcane
21.82,33.6,38.39,19.02,67.99,6.24,10.58,Wheat,0.23,Mustard
33.55,36.32,27.17,11.14,59.74,6.32,22.81,Wheat,0.8,Mustard
82.87,57.94,38.09,32.25,79.62,7.37,283.4,Rice,0.48,Maize
32.69,69.29,20.95,29.23,52.63,5.69,87.72,Rice,0.49,MungBean
80.94,51.09,52.41,29.38,82.08,7.31,235.14,Rice,1.82,Sugarcane
25.11,71.0,24.83,29.91,68.97,6.49,68.87,Wheat,0.66,PigeonPeas
90.8,49.51,38.98,14.04,69.88,7.02,43.03,MungBean,0.69,Wheat
29.33,63.39,18.84,26.75,66.71,6.4,97.6,Rice,0.43,PigeonPeas
21.79,73.87,15.01,26.72,60.08,6.46,94.17,Rice,0.25,PigeonPeas
93.93,58.54,20.74,16.53,71.33,6.1,13.03,Rice,0.45,Wheat
21.62,28.63,22.42,11.98,65.42,6.01,35.06,Wheat,0.55,Mustard
15.77,30.87,89.17,15.9,40.17,7.43,25.42,Maize,0.81,Chickpea
38.87,78.46,20.65,25.34,67.09,6.21,94.4,Rice,0.51,PigeonPeas
72.18,54.9,56.41,32.34,86.23,6.88,266.96,Maize,0.11,Rice
15.48,40.39,82.08,19.03,56.86,7.11,33.74,Millet,0.26,Chickpea
93.4,46.52,28.44,10.02,70.98,6.66,20.67,Rice,0.61,Wheat
73.93,44.7,40.99,29.82,78.49,6.55,226.66,Wheat,0.96,Rice
32.66,24.51,26.44,15.02,64.27,6.38,45.05,Wheat,0.2,Mustard
32.66,76.12,21.46,27.6,54.73,6.14,62.54,Wheat,0.43,PigeonPeas
39.06,24.08,20.4,15.73,55.84,6.98,16.71,Maize,0.26,Mustard
23.89,46.46,78.92,13.96,43.09,7.05,31.54,Maize,0.98,Chickpea
83.09,42.87,43.67,29.29,76.99,7.22,211.62,Wheat,0.3,Sugarcane
87.84,42.53,25.63,32.86,69.34,6.92,223.76,Rice,0.32,Maize
91.88,42.7,30.84,34.53,62.93,7.42,201.32,Wheat,0.49,Maize
36.27,37.98,24.04,17.95,55.09,6.39,23.05,Maize,0.4,Mustard
34.22,33.11,37.48,17.19,64.5,6.17,35.25,Wheat,0.75,Mustard
38.47,65.17,22.43,29.06,66.92,5.71,83.68,Wheat,1.15,MungBean
71.86,46.94,44.64,34.97,77.98,6.16,237.83,Wheat,0.59,Sugarcane
70.77,44.63,41.21,29.19,89.95,5.55,218.39,Maize,0.88,Rice
79.36,50.69,25.63,30.68,61.4,7.09,242.04,Wheat,0.36,Maize
38.34,66.55,18.87,27.49,69.06,5.85,76.41,Wheat,0.26,PigeonPeas
33.52,69.53,23.86,25.28,62.18,5.96,71.67,Wheat,0.54,MungBean
72.15,57.48,55.26,33.58,70.65,6.29,246.02,Wheat,5.63,Rice
37.83,67.65,15.66,28.19,60.19,5.7,54.77,Rice,1.78,PigeonPeas
29.95,48.21,81.87,10.67,47.5,7.21,24.84,Maize,1.39,Chickpea
70.57,58.95,42.19,31.44,77.46,5.76,249.18,Wheat,0.32,Rice
24.75,66.92,20.64,28.72,54.05,6.27,58.41,Wheat,9.3,MungBean
27.01,78.94,18.5,28.78,69.41,5.74,70.97,Rice,0.65,PigeonPeas
83.98,44.22,56.26,33.76,80.48,7.85,204.3,Rice,0.72,Sugarcane
73.09,49.3,40.91,31.67,76.13,6.77,206.27,Rice,0.58,Sugarcane
32.67,62.56,18.87,29.9,66.79,6.01,90.63,Wheat,0.9,MungBean
26.08,26.32,26.59,19.73,68.26,6.33,49.88,Maize,0.79,Mustard
34.0,73.26,18.81,25.19,63.36,6.44,51.79,Rice,0.79,PigeonPeas
75.34,42.17,26.22,28.64,62.31,6.54,285.04,Rice,0.21,Maize
20.16,78.44,23.84,26.27,69.61,6.23,90.95,Wheat,0.17,PigeonPeas
21.17,60.01,16.65,25.31,60.37,6.03,62.83,Wheat,0.56,MungBean
85.82,51.89,34.97,29.34,73.76,6.42,220.3,Rice,0.84,Maize
22.92,76.78,21.97,25.45,65.22,6.41,65.61,Wheat,0.14,PigeonPeas
23.05,38.72,74.04,18.98,51.57,7.86,25.79,Maize,0.54,Chickpea
92.8,44.78,30.77,28.36,75.18,6.2,263.68,Wheat,0.18,Maize
34.85,68.57,15.43,26.85,57.19,5.55,85.52,Wheat,0.73,PigeonPeas
18.08,42.88,84.57,19.33,56.61,7.2,45.96,Maize,8.05,Chickpea
72.03,47.75,46.51,28.17,80.39,6.61,233.76,Fallow,0.56,Rice
85.13,45.09,51.2,31.94,70.0,6.22,206.16,Wheat,0.45,Rice
80.09,57.46,53.67,29.56,70.98,5.54,251.7,Maize,0.31,Rice
34.75,69.86,18.33,29.33,64.21,6.48,66.52,Wheat,6.19,MungBean
78.52,40.56,55.79,34.84,71.53,6.29,291.8,Wheat,0.33,Sugarcane
36.86,77.65,17.19,29.36,57.3,5.97,72.16,Wheat,0.3,MungBean
82.47,55.7,54.87,33.73,77.0,6.51,208.55,Wheat,0.17,Rice
71.21,54.41,58.26,30.92,76.3,6.67,265.15,Maize,0.53,Rice
22.53,24.39,37.58,11.31,50.14,6.41,20.0,Maize,0.87,Mustard
87.78,58.47,50.76,30.03,85.54,6.94,211.17,Rice,0.72,Sugarcane
36.52,27.22,33.42,17.38,64.96,6.02,15.74,Wheat,0.36,Mustard
25.4,34.43,86.07,12.86,51.25,7.42,48.54,Maize,0.96,Chickpea
84.4,44.46,46.27,31.87,79.53,6.05,235.76,Rice,0.48,Sugarcane
82.87,54.26,24.35,30.57,66.5,6.45,287.39,Wheat,0.12,Maize
79.32,51.41,53.74,29.11,74.37,5.52,278.06,Wheat,0.43,Rice
24.63,74.06,20.92,28.65,50.16,5.82,90.04,Wheat,0.64,MungBean
80.04,47.46,44.81,28.63,71.36,5.67,234.84,Wheat,0.73,Rice
79.14,54.81,28.11,31.94,75.07,6.2,212.45,Rice,0.7,Maize
35.37,72.69,19.81,27.79,61.5,6.49,64.77,Wheat,0.29,PigeonPeas
40.0,30.4,37.09,12.53,50.27,6.8,17.44,Wheat,1.62,Mustard
29.2,68.91,19.83,26.34,68.1,6.02,75.56,Rice,0.8,MungBean
30.36,76.77,20.94,25.83,60.24,6.24,54.58,Rice,0.83,MungBean
24.31,74.63,23.98,27.6,53.34,6.28,57.02,Wheat,0.47,MungBean
36.86,25.11,24.25,15.12,55.23,6.78,15.26,Wheat,0.72,Mustard
20.63,39.92,23.04,12.63,61.44,6.74,42.28,Wheat,1.42,Mustard
83.65,56.36,35.73,32.47,62.72,6.26,266.34,Wheat,0.52,Maize
27.47,76.95,18.34,29.8,67.33,6.45,80.26,Wheat,0.1,MungBean
92.25,42.09,25.66,29.41,70.17,7.42,287.97,Rice,0.78,Maize
27.88,49.84,72.58,11.82,58.45,7.13,40.38,Maize,1.4,Chickpea
34.16,68.69,22.03,28.07,53.06,6.18,89.28,Wheat,0.83,PigeonPeas
29.17,73.56,23.74,29.67,69.16,6.3,89.61,Wheat,1.83,MungBean
100.08,45.36,39.31,15.0,65.71,7.4,14.6,MungBean,1.84,Wheat
22.18,38.25,76.25,14.35,53.35,7.23,25.65,Maize,0.51,Chickpea
84.43,50.4,58.78,29.13,74.34,6.72,262.36,Maize,0.86,Rice
74.43,59.58,55.73,31.48,87.53,6.48,246.08,Rice,0.68,Sugarcane
37.5,33.43,31.58,17.0,65.21,6.69,15.77,Maize,0.88,Mustard
28.85,30.78,31.91,11.34,66.49,6.67,39.61,Maize,0.87,Mustard
17.47,49.73,85.51,12.88,42.78,7.86,48.81,Maize,0.81,Chickpea
74.78,52.22,53.85,34.7,81.48,7.26,295.27,Wheat,0.9,Sugarcane
35.02,74.22,23.02,26.01,61.66,6.09,92.68,Rice,1.86,PigeonPeas
92.03,59.89,36.22,33.08,68.17,7.46,286.42,Wheat,0.86,Maize
93.16,55.24,28.07,33.5,64.88,6.1,220.3,Wheat,1.36,Maize
37.26,62.28,16.05,28.99,69.83,5.86,55.27,Wheat,0.73,PigeonPeas
25.42,79.91,21.26,26.55,57.79,6.2,82.11,Rice,0.52,MungBean
35.47,31.21,26.77,11.85,68.73,6.91,38.98,Maize,1.55,Mustard
30.53,62.1,15.54,26.93,52.12,6.07,99.8,Wheat,1.29,MungBean
83.34,46.86,42.32,33.19,87.1,7.09,221.53,Wheat,0.32,Sugarcane
19.73,32.95,87.41,16.99,51.03,7.7,12.78,Maize,0.68,Chickpea
27.13,39.59,27.13,19.95,61.32,6.8,47.48,Wheat,0.85,Mustard
87.98,48.2,44.07,33.87,81.1,6.0,229.35,Maize,0.66,Rice
84.25,52.16,45.11,32.0,89.96,6.69,285.17,Maize,0.59,Rice
28.83,27.84,26.62,18.8,58.59,6.95,41.75,Maize,10.76,Mustard
86.95,58.12,24.48,11.51,67.91,6.58,46.44,Rice,0.49,Wheat
23.0,29.34,35.67,12.18,63.64,7.0,42.31,Wheat,0.64,Mustard
89.67,41.33,38.88,15.57,79.4,6.54,49.32,Rice,0.9,Wheat
89.93,43.5,42.89,32.5,83.88,6.85,250.24,Maize,0.28,Rice
25.86,37.11,27.61,11.85,58.16,6.12,31.99,Wheat,0.74,Mustard
71.59,54.04,55.36,31.09,85.75,5.74,264.94,Fallow,1.88,Rice
74.44,51.87,50.82,28.98,74.75,6.04,299.3,Rice,0.98,Sugarcane
73.94,44.21,47.82,32.54,78.53,6.01,269.49,Wheat,0.88,Sugarcane
90.41,54.92,27.46,29.26,61.99,7.3,236.72,Wheat,0.96,Maize
78.27,46.05,30.26,32.33,63.28,6.35,283.01,Wheat,0.28,Maize
85.38,44.72,25.73,34.29,64.88,6.89,254.6,Rice,0.2,Maize
37.79,30.09,20.64,14.6,50.05,6.35,33.29,Maize,0.77,Mustard
27.4,37.67,38.49,18.94,65.45,6.98,44.28,Wheat,0.31,Mustard
74.95,59.56,58.75,28.94,78.41,7.95,226.71,Rice,0.1,Sugarcane
77.26,50.48,48.45,33.4,81.98,6.18,272.87,Maize,0.71,Rice
30.91,23.6,25.66,19.94,54.45,6.24,15.04,Wheat,0.39,Mustard
88.96,57.55,52.57,34.09,70.93,7.56,216.79,Rice,0.35,Sugarcane
24.21,66.81,15.57,25.2,50.01,5.51,91.57,Wheat,0.73,PigeonPeas
36.4,71.61,22.41,28.67,64.76,5.6,82.09,Rice,1.64,PigeonPeas
22.34,72.91,22.52,25.26,66.76,6.07,77.4,Rice,0.63,MungBean
35.37,63.61,21.66,27.75,56.44,5.98,93.28,Rice,0.39,PigeonPeas
71.14,47.65,59.86,29.49,87.31,6.22,207.33,Wheat,0.84,Rice
34.46,76.39,17.85,27.7,60.6,6.08,80.69,Wheat,0.47,PigeonPeas
27.59,32.41,71.2,16.86,58.79,7.16,25.02,Millet,0.59,Chickpea
77.68,48.79,37.2,18.29,68.32,7.46,12.94,Rice,0.9,Wheat
80.28,41.24,21.85,29.25,72.72,6.17,255.58,Rice,0.31,Maize
21.14,30.19,84.41,19.45,41.76,7.64,48.64,Maize,0.78,Chickpea
91.6,50.65,29.38,34.15,60.82,6.34,264.22,Wheat,0.23,Maize
29.75,49.19,75.59,14.88,53.86,7.72,48.39,Maize,0.81,Chickpea
24.08,78.84,23.85,29.48,57.01,5.83,65.76,Wheat,0.78,PigeonPeas
80.48,48.08,53.54,29.41,86.13,5.8,231.55,Maize,0.3,Rice
88.92,44.18,54.61,31.94,88.24,5.71,211.11,Wheat,0.29,Rice
90.51,53.8,34.05,10.02,60.6,6.11,37.36,Rice,0.84,Wheat
75.82,48.47,39.4,33.7,60.58,6.18,244.09,Wheat,1.22,Maize
76.31,46.74,47.4,33.36,76.09,7.5,287.95,Wheat,0.55,Sugarcane
34.41,65.72,22.74,29.28,63.49,5.78,51.32,Rice,0.68,MungBean
25.02,45.69,73.55,15.34,43.72,7.92,15.76,Maize,0.14,Chickpea
81.25,51.68,46.27,32.99,80.89,7.38,218.57,Wheat,0.54,Sugarcane
75.8,42.51,22.63,29.72,68.79,7.27,298.94,Wheat,0.8,Maize
36.87,74.02,18.51,25.45,69.85,5.95,71.32,Wheat,0.87,PigeonPeas
26.39,48.76,78.38,15.47,55.02,7.69,48.29,Maize,0.13,Chickpea
85.3,47.59,31.99,12.76,75.41,7.11,23.62,Rice,0.96,Wheat
19.09,48.11,74.33,12.62,52.01,7.59,12.09,Maize,0.54,Chickpea
39.18,70.82,24.47,28.3,67.35,5.85,92.02,Wheat,1.99,MungBean
74.47,52.22,43.33,28.12,71.71,5.75,227.49,Maize,1.35,Rice
19.04,41.76,89.03,14.65,45.15,7.56,23.98,Millet,0.61,Chickpea
22.15,62.82,17.01,26.51,52.91,5.81,75.48,Rice,0.23,MungBean
31.07,73.92,16.42,25.79,59.47,5.72,82.06,Wheat,0.13,PigeonPeas
21.4,69.46,21.56,28.58,65.66,5.7,65.25,Wheat,0.22,PigeonPeas
76.07,54.88,26.11,14.03,64.74,6.68,26.69,Rice,0.68,Wheat
21.01,35.24,71.26,13.9,49.46,7.92,42.83,Maize,0.6,Chickpea
85.7,58.93,44.17,31.07,74.71,6.89,264.14,Wheat,0.17,Rice
15.37,38.53,80.43,14.82,52.94,7.99,12.28,Millet,0.18,Chickpea
70.78,57.32,58.11,31.21,81.06,6.33,244.08,Wheat,0.31,Sugarcane
71.27,59.81,42.25,31.6,86.7,6.89,268.58,Maize,0.46,Rice
21.47,29.18,27.18,13.12,67.84,6.55,12.09,Maize,1.67,Mustard
26.9,20.03,35.57,12.62,58.09,6.77,21.49,Maize,0.97,Mustard
24.85,38.89,34.16,16.9,59.17,6.26,40.67,Maize,1.41,Mustard
31.88,63.88,20.35,26.98,51.11,6.16,51.31,Rice,0.32,PigeonPeas
75.43,46.49,24.63,16.07,60.62,7.16,16.13,Rice,1.61,Wheat
34.69,63.92,24.83,25.58,60.99,6.11,64.07,Wheat,0.89,MungBean
22.3,69.43,15.94,26.54,68.65,5.75,92.51,Wheat,0.86,MungBean
24.72,67.89,23.51,25.26,60.45,5.93,50.11,Wheat,0.74,MungBean
77.78,43.94,51.8,31.4,77.29,6.29,242.26,Wheat,0.57,Sugarcane
76.29,48.27,30.12,28.58,74.69,6.18,261.96,Rice,0.95,Maize
28.93,33.61,24.7,10.13,69.72,6.11,21.99,Wheat,0.33,Mustard
24.68,75.22,18.47,27.84,61.1,5.85,96.47,Rice,0.33,PigeonPeas
75.7,44.53,59.65,30.47,88.49,6.42,274.22,Rice,0.15,Sugarcane
89.11,56.73,21.92,19.64,70.26,6.44,26.1,Rice,0.56,Wheat
81.57,58.23,20.1,16.46,72.95,6.27,18.41,Rice,1.7,Wheat
17.58,41.24,81.71,18.71,54.56,7.41,10.43,Millet,0.37,Chickpea
27.94,73.57,23.76,29.15,54.23,5.94,73.17,Wheat,0.26,MungBean
35.59,61.72,24.49,25.56,54.71,6.09,67.77,Wheat,1.29,PigeonPeas
72.81,50.22,47.26,28.04,87.93,6.09,212.33,Maize,0.92,Rice
93.07,56.39,29.29,34.17,73.8,6.71,227.32,Wheat,0.92,Maize
80.6,45.0,43.72,31.09,80.1,6.96,256.69,Rice,0.94,Sugarcane
20.85,72.27,23.61,27.21,68.18,5.54,75.37,Rice,1.76,PigeonPeas
91.6,47.96,38.36,18.9,62.3,6.66,27.32,PigeonPeas,0.54,Wheat
25.5,62.49,16.82,27.49,69.46,5.5,72.76,Wheat,0.32,MungBean
18.71,42.83,79.55,14.87,55.17,7.47,33.06,Maize,0.57,Chickpea
26.66,67.04,19.8,26.99,52.37,6.0,58.77,Rice,1.26,PigeonPeas
23.45,49.74,77.82,12.03,40.75,7.92,32.71,Millet,1.75,Chickpea
18.62,31.34,80.41,10.35,40.65,7.3,30.52,Maize,0.26,Chickpea
93.77,41.88,38.22,19.48,62.44,6.88,36.12,Maize,0.92,Wheat
24.12,78.69,15.18,27.68,59.24,5.86,86.83,Wheat,0.48,PigeonPeas
17.9,31.39,82.16,14.46,54.39,7.24,25.6,Maize,0.67,Chickpea
77.7,59.78,42.54,33.66,74.39,6.42,296.64,Rice,0.94,Sugarcane
34.06,75.97,19.17,27.46,59.52,6.48,71.6,Wheat,0.54,MungBean
72.21,52.94,56.72,33.96,77.0,6.06,250.3,Maize,0.18,Rice
92.2,44.39,39.82,31.09,73.72,6.21,222.74,Rice,0.63,Maize
25.34,39.96,24.49,18.4,67.54,6.77,47.14,Maize,0.52,Mustard
74.07,49.12,57.74,30.48,79.66,6.46,254.37,Wheat,0.71,Sugarcane
39.23,38.01,31.09,10.58,55.94,6.57,27.98,Wheat,0.65,Mustard
24.58,29.64,23.4,16.62,50.29,6.04,42.7,Wheat,0.7,Mustard
32.03,67.33,16.6,28.87,52.63,5.58,67.2,Rice,1.45,MungBean
23.71,62.84,22.93,26.26,59.17,6.33,54.52,Wheat,0.77,MungBean
75.89,49.1,32.17,31.02,76.23,6.79,205.82,Rice,0.38,Maize
17.45,32.14,79.97,14.76,59.84,7.92,14.37,Maize,0.58,Chickpea
25.05,77.12,21.35,25.35,60.65,6.35,73.82,Wheat,0.84,MungBean
74.15,48.84,49.2,34.11,89.58,7.12,246.78,Rice,4.24,Sugarcane
38.48,32.64,33.93,16.3,57.67,6.26,30.38,Wheat,0.69,Mustard
23.51,61.14,23.55,28.58,52.41,6.18,54.59,Wheat,0.59,MungBean
31.66,65.28,16.4,26.34,55.06,6.01,84.19,Rice,0.55,PigeonPeas
